,negative,neutral,positive
2015-11-28 18:45:00+00:00,499.0,191.0,373.0
2015-11-28 18:50:00+00:00,700.0,372.0,508.0
2015-11-28 18:55:00+00:00,722.0,352.0,660.0
2015-11-28 19:00:00+00:00,641.0,335.0,520.0
2015-11-28 19:05:00+00:00,637.0,323.0,498.0
2015-11-28 19:10:00+00:00,597.0,320.0,560.0
2015-11-28 19:15:00+00:00,740.0,389.0,643.0
2015-11-28 19:20:00+00:00,801.0,365.0,595.0
2015-11-28 19:25:00+00:00,997.0,337.0,580.0
2015-11-28 19:30:00+00:00,832.0,357.0,657.0
2015-11-28 19:35:00+00:00,655.0,453.0,642.0
2015-11-28 19:40:00+00:00,690.0,263.0,444.0
2015-11-28 19:45:00+00:00,648.0,394.0,545.0
2015-11-28 19:50:00+00:00,711.0,356.0,591.0
2015-11-28 19:55:00+00:00,922.0,358.0,646.0
2015-11-28 20:00:00+00:00,721.0,386.0,621.0
2015-11-28 20:05:00+00:00,668.0,373.0,554.0
2015-11-28 20:10:00+00:00,641.0,400.0,574.0
2015-11-28 20:15:00+00:00,566.0,331.0,567.0
2015-11-28 20:20:00+00:00,615.0,309.0,480.0
2015-11-28 20:25:00+00:00,680.0,345.0,468.0
2015-11-28 20:30:00+00:00,582.0,308.0,519.0
2015-11-28 20:35:00+00:00,601.0,294.0,523.0
2015-11-28 20:40:00+00:00,644.0,340.0,502.0
2015-11-28 20:45:00+00:00,637.0,359.0,486.0
2015-11-28 20:50:00+00:00,595.0,393.0,466.0
2015-11-28 20:55:00+00:00,549.0,337.0,452.0
2015-11-28 21:00:00+00:00,645.0,405.0,455.0
2015-11-28 21:05:00+00:00,507.0,321.0,475.0
2015-11-28 21:10:00+00:00,694.0,285.0,424.0
2015-11-28 21:15:00+00:00,982.0,365.0,474.0
2015-11-28 21:20:00+00:00,1036.0,332.0,445.0
2015-11-28 21:25:00+00:00,726.0,355.0,486.0
2015-11-28 21:30:00+00:00,658.0,406.0,552.0
2015-11-28 21:35:00+00:00,607.0,475.0,475.0
2015-11-28 21:40:00+00:00,572.0,502.0,432.0
2015-11-28 21:45:00+00:00,582.0,438.0,409.0
2015-11-28 21:50:00+00:00,586.0,346.0,516.0
2015-11-28 21:55:00+00:00,539.0,292.0,484.0
2015-11-28 22:00:00+00:00,481.0,319.0,406.0
2015-11-28 22:05:00+00:00,503.0,293.0,435.0
2015-11-28 22:10:00+00:00,509.0,350.0,396.0
2015-11-28 22:15:00+00:00,485.0,346.0,394.0
2015-11-28 22:20:00+00:00,446.0,298.0,436.0
2015-11-28 22:25:00+00:00,472.0,218.0,401.0
2015-11-28 22:30:00+00:00,551.0,321.0,407.0
2015-11-28 22:35:00+00:00,504.0,332.0,382.0
2015-11-28 22:40:00+00:00,207.0,135.0,149.0
2015-11-29 00:30:00+00:00,413.0,313.0,375.0
2015-11-29 00:35:00+00:00,458.0,359.0,439.0
2015-11-29 00:40:00+00:00,463.0,332.0,402.0
2015-11-29 00:45:00+00:00,482.0,361.0,387.0
2015-11-29 00:50:00+00:00,525.0,381.0,449.0
2015-11-29 00:55:00+00:00,501.0,407.0,420.0
2015-11-29 01:00:00+00:00,507.0,511.0,482.0
2015-11-29 01:05:00+00:00,434.0,258.0,420.0
2015-11-29 01:10:00+00:00,703.0,371.0,412.0
2015-11-29 01:15:00+00:00,660.0,475.0,437.0
2015-11-29 01:20:00+00:00,622.0,346.0,430.0
2015-11-29 01:25:00+00:00,625.0,390.0,364.0
2015-11-29 01:30:00+00:00,578.0,484.0,417.0
2015-11-29 01:35:00+00:00,555.0,419.0,413.0
2015-11-29 01:40:00+00:00,531.0,433.0,360.0
2015-11-29 01:45:00+00:00,522.0,421.0,384.0
2015-11-29 01:50:00+00:00,484.0,368.0,369.0
2015-11-29 01:55:00+00:00,473.0,393.0,388.0
2015-11-29 02:00:00+00:00,514.0,381.0,397.0
2015-11-29 02:05:00+00:00,429.0,405.0,392.0
2015-11-29 02:10:00+00:00,495.0,366.0,455.0
2015-11-29 02:15:00+00:00,476.0,473.0,473.0
2015-11-29 02:20:00+00:00,460.0,367.0,446.0
2015-11-29 02:25:00+00:00,515.0,476.0,441.0
2015-11-29 02:30:00+00:00,522.0,521.0,367.0
2015-11-29 02:35:00+00:00,473.0,404.0,385.0
2015-11-29 02:40:00+00:00,469.0,349.0,378.0
2015-11-29 02:45:00+00:00,461.0,363.0,386.0
2015-11-29 02:50:00+00:00,411.0,415.0,423.0
2015-11-29 02:55:00+00:00,418.0,375.0,393.0
2015-11-29 03:00:00+00:00,424.0,435.0,366.0
2015-11-29 03:05:00+00:00,398.0,379.0,375.0
2015-11-29 03:10:00+00:00,411.0,364.0,389.0
2015-11-29 03:15:00+00:00,435.0,420.0,370.0
2015-11-29 03:20:00+00:00,478.0,582.0,493.0
2015-11-29 03:25:00+00:00,459.0,559.0,390.0
2015-11-29 03:30:00+00:00,397.0,487.0,344.0
2015-11-29 03:35:00+00:00,393.0,445.0,345.0
2015-11-29 03:40:00+00:00,434.0,401.0,373.0
2015-11-29 03:45:00+00:00,371.0,366.0,367.0
2015-11-29 03:50:00+00:00,410.0,377.0,410.0
2015-11-29 03:55:00+00:00,426.0,358.0,381.0
2015-11-29 04:00:00+00:00,442.0,343.0,336.0
2015-11-29 04:05:00+00:00,565.0,377.0,434.0
2015-11-29 04:10:00+00:00,481.0,453.0,354.0
2015-11-29 04:15:00+00:00,448.0,576.0,364.0
2015-11-29 04:20:00+00:00,424.0,369.0,386.0
2015-11-29 04:25:00+00:00,422.0,402.0,300.0
2015-11-29 04:30:00+00:00,369.0,382.0,383.0
2015-11-29 04:35:00+00:00,413.0,321.0,363.0
2015-11-29 04:40:00+00:00,418.0,330.0,360.0
2015-11-29 04:45:00+00:00,404.0,397.0,383.0
2015-11-29 04:50:00+00:00,405.0,394.0,369.0
2015-11-29 04:55:00+00:00,388.0,324.0,296.0
2015-11-29 05:00:00+00:00,404.0,307.0,378.0
2015-11-29 05:05:00+00:00,349.0,280.0,407.0
2015-11-29 05:10:00+00:00,348.0,312.0,362.0
2015-11-29 05:15:00+00:00,320.0,291.0,339.0
2015-11-29 05:20:00+00:00,284.0,257.0,303.0
2015-11-29 05:25:00+00:00,284.0,299.0,285.0
2015-11-29 05:30:00+00:00,284.0,295.0,316.0
2015-11-29 05:35:00+00:00,302.0,247.0,260.0
2015-11-29 05:40:00+00:00,294.0,224.0,289.0
2015-11-29 05:45:00+00:00,267.0,216.0,320.0
2015-11-29 05:50:00+00:00,339.0,235.0,278.0
2015-11-29 05:55:00+00:00,356.0,265.0,297.0
2015-11-29 06:00:00+00:00,244.0,238.0,244.0
2015-11-29 06:05:00+00:00,245.0,188.0,246.0
2015-11-29 06:10:00+00:00,256.0,186.0,271.0
2015-11-29 06:15:00+00:00,228.0,159.0,263.0
2015-11-29 06:20:00+00:00,271.0,161.0,218.0
2015-11-29 06:25:00+00:00,277.0,209.0,281.0
2015-11-29 06:30:00+00:00,252.0,151.0,224.0
2015-11-29 06:35:00+00:00,226.0,171.0,205.0
2015-11-29 06:40:00+00:00,221.0,182.0,214.0
2015-11-29 06:45:00+00:00,242.0,154.0,211.0
2015-11-29 06:50:00+00:00,231.0,171.0,185.0
2015-11-29 06:55:00+00:00,208.0,130.0,205.0
2015-11-29 07:00:00+00:00,201.0,159.0,190.0
2015-11-29 07:05:00+00:00,218.0,164.0,205.0
2015-11-29 07:10:00+00:00,198.0,131.0,185.0
2015-11-29 07:15:00+00:00,213.0,203.0,175.0
2015-11-29 07:20:00+00:00,191.0,190.0,163.0
2015-11-29 07:25:00+00:00,163.0,150.0,149.0
2015-11-29 07:30:00+00:00,197.0,151.0,194.0
2015-11-29 07:35:00+00:00,180.0,139.0,140.0
2015-11-29 07:40:00+00:00,221.0,126.0,141.0
2015-11-29 07:45:00+00:00,168.0,967.0,165.0
2015-11-29 07:50:00+00:00,223.0,137.0,142.0
2015-11-29 07:55:00+00:00,219.0,134.0,119.0
2015-11-29 08:00:00+00:00,187.0,119.0,174.0
2015-11-29 08:05:00+00:00,177.0,145.0,159.0
2015-11-29 08:10:00+00:00,182.0,134.0,168.0
2015-11-29 08:15:00+00:00,156.0,161.0,161.0
2015-11-29 08:20:00+00:00,153.0,134.0,152.0
2015-11-29 08:25:00+00:00,247.0,151.0,132.0
2015-11-29 08:30:00+00:00,199.0,178.0,157.0
2015-11-29 08:35:00+00:00,183.0,163.0,130.0
2015-11-29 08:40:00+00:00,154.0,151.0,99.0
2015-11-29 08:45:00+00:00,173.0,204.0,99.0
2015-11-29 08:50:00+00:00,152.0,131.0,110.0
2015-11-29 08:55:00+00:00,162.0,124.0,125.0
2015-11-29 09:00:00+00:00,176.0,192.0,112.0
2015-11-29 09:05:00+00:00,37.0,28.0,25.0
2015-11-29 17:05:00+00:00,59.0,40.0,49.0
2015-11-29 17:10:00+00:00,540.0,362.0,549.0
2015-11-29 17:15:00+00:00,523.0,312.0,601.0
2015-11-29 17:20:00+00:00,601.0,326.0,626.0
2015-11-29 17:25:00+00:00,514.0,299.0,590.0
2015-11-29 17:30:00+00:00,534.0,291.0,559.0
2015-11-29 17:35:00+00:00,534.0,345.0,543.0
2015-11-29 17:40:00+00:00,479.0,263.0,547.0
2015-11-29 17:45:00+00:00,510.0,287.0,731.0
2015-11-29 17:50:00+00:00,506.0,344.0,677.0
2015-11-29 17:55:00+00:00,496.0,295.0,700.0
2015-11-29 18:00:00+00:00,630.0,327.0,580.0
2015-11-29 18:05:00+00:00,681.0,349.0,542.0
2015-11-29 18:10:00+00:00,601.0,319.0,515.0
2015-11-29 18:15:00+00:00,583.0,413.0,507.0
2015-11-29 18:20:00+00:00,597.0,298.0,460.0
2015-11-29 18:25:00+00:00,515.0,337.0,419.0
2015-11-29 18:30:00+00:00,424.0,244.0,348.0
2015-11-29 18:35:00+00:00,435.0,251.0,335.0
2015-11-29 18:40:00+00:00,583.0,334.0,466.0
2015-11-29 18:45:00+00:00,585.0,354.0,485.0
2015-11-29 18:50:00+00:00,707.0,412.0,630.0
2015-11-29 18:55:00+00:00,639.0,350.0,608.0
2015-11-29 19:00:00+00:00,537.0,390.0,589.0
2015-11-29 19:05:00+00:00,593.0,376.0,504.0
2015-11-29 19:10:00+00:00,603.0,373.0,533.0
2015-11-29 19:15:00+00:00,754.0,350.0,460.0
2015-11-29 19:20:00+00:00,483.0,328.0,664.0
2015-11-29 19:25:00+00:00,447.0,346.0,531.0
2015-11-29 19:30:00+00:00,491.0,334.0,502.0
2015-11-29 19:35:00+00:00,446.0,300.0,418.0
2015-11-29 19:40:00+00:00,429.0,308.0,384.0
2015-11-29 19:45:00+00:00,407.0,365.0,500.0
2015-11-29 19:50:00+00:00,466.0,622.0,556.0
2015-11-29 19:55:00+00:00,643.0,437.0,492.0
2015-11-29 20:00:00+00:00,546.0,350.0,438.0
2015-11-29 20:05:00+00:00,477.0,343.0,387.0
2015-11-29 20:10:00+00:00,478.0,332.0,457.0
2015-11-29 20:15:00+00:00,545.0,311.0,461.0
2015-11-29 20:20:00+00:00,492.0,271.0,328.0
2015-11-29 20:25:00+00:00,579.0,317.0,390.0
2015-11-29 20:30:00+00:00,510.0,301.0,426.0
2015-11-29 20:35:00+00:00,460.0,304.0,358.0
2015-11-29 20:40:00+00:00,481.0,326.0,347.0
2015-11-29 20:45:00+00:00,460.0,295.0,397.0
2015-11-29 20:50:00+00:00,464.0,283.0,430.0
2015-11-29 20:55:00+00:00,441.0,274.0,445.0
2015-11-29 21:00:00+00:00,436.0,277.0,481.0
2015-11-29 21:05:00+00:00,382.0,283.0,426.0
2015-11-29 21:10:00+00:00,424.0,322.0,352.0
2015-11-29 21:15:00+00:00,460.0,296.0,491.0
2015-11-29 21:20:00+00:00,439.0,293.0,395.0
2015-11-29 21:25:00+00:00,434.0,333.0,448.0
2015-11-29 21:30:00+00:00,361.0,328.0,416.0
2015-11-29 21:35:00+00:00,423.0,323.0,759.0
2015-11-29 21:40:00+00:00,481.0,288.0,610.0
2015-11-29 21:45:00+00:00,461.0,301.0,497.0
2015-11-29 21:50:00+00:00,616.0,328.0,539.0
2015-11-29 21:55:00+00:00,402.0,297.0,427.0
2015-11-29 22:00:00+00:00,362.0,239.0,339.0
2015-11-30 00:20:00+00:00,428.0,231.0,386.0
2015-11-30 00:25:00+00:00,456.0,317.0,499.0
2015-11-30 00:30:00+00:00,443.0,292.0,448.0
2015-11-30 00:35:00+00:00,434.0,289.0,480.0
2015-11-30 00:40:00+00:00,413.0,346.0,469.0
2015-11-30 00:45:00+00:00,442.0,323.0,479.0
2015-11-30 00:50:00+00:00,487.0,358.0,467.0
2015-11-30 00:55:00+00:00,478.0,337.0,514.0
2015-11-30 01:00:00+00:00,532.0,359.0,514.0
2015-11-30 01:05:00+00:00,456.0,420.0,488.0
2015-11-30 01:10:00+00:00,464.0,326.0,538.0
2015-11-30 01:15:00+00:00,515.0,350.0,568.0
2015-11-30 01:20:00+00:00,534.0,347.0,530.0
2015-11-30 01:25:00+00:00,492.0,386.0,649.0
2015-11-30 01:30:00+00:00,569.0,514.0,1001.0
2015-11-30 01:35:00+00:00,554.0,496.0,1094.0
2015-11-30 01:40:00+00:00,563.0,616.0,1041.0
2015-11-30 01:45:00+00:00,557.0,399.0,764.0
2015-11-30 01:50:00+00:00,510.0,414.0,707.0
2015-11-30 01:55:00+00:00,491.0,370.0,740.0
2015-11-30 02:00:00+00:00,452.0,365.0,642.0
2015-11-30 02:05:00+00:00,427.0,417.0,790.0
2015-11-30 02:10:00+00:00,492.0,431.0,685.0
2015-11-30 02:15:00+00:00,350.0,352.0,433.0
